text,sentiment
honestly fuuuuccckkkk you @apple http://t.co/0aV4VreGUj,-1
@Apple Stop liking man.,-1
@SSComposer @Apple seems to ignore any key presses like command r and is just doing its own thing.,-1
"RT @JPDesloges: APPLE - Fibonacci Technicals Levels - LAST Intraday  Update - $AAPL #aapl 
http://t.co/9tLzXOlfzG",0
"Note to @apple, Mail STILL has trouble sending.  The last update didn't fix it.  Mail that doesn't send?  Not so useful.",-1
"@brettgilmour @Apple You're not the only one apparently, based on that last interview we did with @carmilevy",0
"No @macbook today,charger broken .help please @apple what can i do...",-1
#Google May Be the Big Winner in LAUSD's #IPad Scandal http://t.co/YVDioMcl4r via @BW #aapl,0
FUCK U @apple i just dropped my new IPHONE6  and it got all sctratched up ! IM DONE WITH APPLE SO FUCKING FRAGILE,-1
"#Will the #IPhone6Plus Shortage Hurt @Apple [#Apple] This Christmas?. (#Monday, 8 #December) http://t.co/i1QB6uaRms",0
@britt_bumgarner @briannalengy I mean it didn't auto correct so who is really at fault here @apple,-1
"AAPL 'buy' reiterated,  target raised to $130 by Bank of America Merrill Lynch $AAPL Brief explanation here:  https://t.co/349ckZlF0v #AAPL",0
fuck type of shit is this @Apple @autocorrect @Siri http://t.co/5zyb6SUepz,-1
Left the hoos we 100% now got 50 iPhones are dire @apple suck ur mum,-1
"@brycehendersonn o wow @technology @stevejobs #GamerGate  @IGN  @Machinima @gameinformer @Apple #64megaherts 
got me there",0
5 Companies Growing Faster Than Apple Inc. http://t.co/QsoC8dir60 #AAPL,0
@apple #YosemiteProblems Erases my saved pass words every day. This is getting annoying.,-1
"@apple #apple tech support is so nice. Free stuff!! Sucks about the ringtone issue, though...",1
"Apple Releases Safari 8.0.1, 7.1.1, and 6.2.1 http://t.co/sIOuKQbs1T #AAPL",0
"Early Apple Employee Bill Fernandez Shares Details on Steve Jobs, Creation of the Apple II, and More http://t.co/hv7TfDUIm9 #AAPL",0
"AAPL passes $700 billion in Market Cap and setting a new record, details here:
http://t.co/UCXw8zSRpZ #AAPL #Apple #Stocks #Record #News",0
Can't believe @Apple said melted keys on Mac Pro is not under warranty for a machine less than a year old. Asking for 鶯500 to repair.,-1
fuck you @apple,-1
I posted 9 photos on Facebook in the album 'WOW TALKS // PASSION FOR DESIGN // LONDON DESIGN FESTIVAL @APPLE' http://t.co/vgRlX9OCMT,0
How To Use #iOS8 Continuity | Know Your Mobile http://t.co/Bf2smNeBEe #aapl,0
@SwiftKey @Apple Oh In wish you guys would port hebrew from the android version already! I have swapping abck and forth,-1
"Apple's iPhone 6 Plus Amazingly Captures 41% of the Phablet Market Right out of the Gate $AAPL #aapl
http://t.co/hv7jiOO6S0",1
#AAPL providing another great entry point &lt; $115,1
@lisapjackson any stats on use of @Apple's recycling program?,0
#AAPL:Corporate Earnings to Contract; Short Apple: Best of Kass...http://t.co/59VMgqR0tH,0
ayo @Apple I think u should create a 'video message' option so when @CarlaBarlaCakes doesn't answer my facetime I can leave her a VIDEO MAIL,0
The power of @Apple 's strong branding and store design in one photo http://t.co/CJObpVZeZk via @qz http://t.co/hD6P7hJhW8,0
Yo @Apple fix your shitty iMessage,-1
Why I Hate Apple - http://t.co/IbpyJXaOuW #AAPL #Long-Term_Larry,-1
Hey @apple are you even thinking about fixing your wifi issues? #YosemiteProblems,-1
@sharksbeauty @Apple LEMME get the blondes number,0
"#AAPL:Apple Inc., International Business Machines Corp., Exxon Mobil Corpora...http://t.co/0XWPHhpA6C",0
3 #Tech Stocks That Could Soar in 2015 | The Motley Fool #goog #aapl #fb http://t.co/6LcuT1XTzX,0
Apple Debuts New iPad Air 2 TV Ad 'Change' with New Website Section http://t.co/8q8satHa2S #AAPL,0
@jakeflem @Apple Some info for you: http://t.co/J79FnVB94e http://t.co/m3pclPVgGK http://t.co/J72WyhXxx1 Hope it helps. #PinkScreenOfDeath,0
"Apple mass transit system for Maps detailed in new patent $AAPL #aapl
http://t.co/YhwWoUBR3Q",0
@ohaiigloria @hahahamark @apple explain yourselves,-1
RT @danielllebaker: Paid $20 for a new 5 charger and couldn't  b more pissed about it... this is rape @apple,-1
"The 10 biggest differences between #Mac and #PC.  Yep, I'll stick with my Mac! #apple http://t.co/obykvsjfJY @apple @LisaEadicicco",1
Yall need to fix this flicker/flash when I swipe up to close apps @Apple,-1
PRINCIPLED TRUTHS: Eddy Cue Talks to Fortune as Apple Appeals E-Book Price-Fixing Judgment. #AAPL http://t.co/Y7JDYN0mlR,0
@apple#ipad #irig  For the price to connect my guitar I could buy a real amp loud enough to perform! #ripoff,-1
@steviebuckley It's doing strange things to @dropbox files as well - create a new folder and it disappears etc.  @apple #yosemite #bugs,-1
#AAPL:12 Unexpected Stocks Bringing Buffett and Fellow Billionaires Holiday ...http://t.co/QSxQQPAg2q,0
@HlPSTALUKE @Apple one of you stepped on my phone last night and its smashed and doesnt work :),-1
"Hey @apple, fuck you for thinking I want text messages to pop up on my computer, iPad and phone.. #ThisIsWhyPeopleGetMurdered",-1
Just another reason to hate @Apple!!!!!!!!!!!,-1
"Steve Jobs: 'I don't know what the claims in the case are' $AAPL #aapl
http://t.co/5Ufd8p9qxs",0
@OneRepublic @Apple How cool that you're working on new music. Can't wait to hear it. But you're working hard. You need rest. :),1
@Apple technology..is becoming very undesirable. These glitches are constantly stopping my from working,-1
#Apple dominates mobile online shopping at 78 percent in US #aapl http://t.co/1fqoPIhObO,1
"@applenws @AppleProducts @Apple ok look, yall still ain't reversed me back to iOS 7. idk what the hold up is but ima need yall to get on it",-1
Can @Apple sTOP making their OS installations so damn bloody difficult STOP ASKING ME TO CLEAR SPACE FROM MY HARD DISK,-1
Jimmy Iovine to Apple: 'You Have a Hole in Music Right Now; Let Me Plug It' http://t.co/RwolD40zwI #AAPL,0
Anti-Discrimination Bill To Be Named After @Apple CEO @TimCook http://t.co/qEZlIPc8Z2 via @theinquisitr @LGBT #LGBT #Gayrights #Alabama,0
RT @all4incognito: HATE @APPLE SO MUCH. RUIN MY LIFE,-1
"Debunking One of #Apple's Biggest Myths 

http://t.co/ZljMUApQV6

#AAPL",0
RT @animaItoes: Why does my phone suck so much @apple,-1
YO YOU AINT SHIT @apple,-1
#Apple: Market Maker Price Range Forecast Update #AAPL http://t.co/lb0gspNI9j,0
#Apple planning to spend $161 million on its own auditorium at ... - http://t.co/eJU1Q6Qklb #AAPL #WWDC http://t.co/QYhVucuSyP,0
You'll Be Able To Learn How To Code For Free Next Week At Your Nearest @Apple Store!  http://t.co/8xHh2SLC4X,0
What I find alarming about @Apple power cords is how quickly they fray.  I don't always notice when I don't travel with them. #AppleCordFire,-1
10 best #SteveJobs #apple #aapl #tech30 http://t.co/FkrkG1iF7g via,0
@SamJam Agreed--have to give props to @Apple for battery life on new iPhones. It's SO good. #TL_Chat,1
@apple I have been on hold for 30 minutes thank god I sold most of my stock is this comcast or apple?,-1
"@viticci @panic @Apple Jesus, why did they create extensions at all? Lighten up Apple.",-1
"Apple Inc. price at close, December 05, 2014, is 114.9801. #apple #AAPL",0
CNBCTV:  Bulls running with #GoPro &amp; #Apple #gpro #aapl  http://t.co/zNj09hU6jb,0
Apple Is Warming Up To Social Media: Apple is hiring a social media guru in L.A. Will @Apple finally tweet?Her... http://t.co/sB1FXAZ4j7,0
Ironic that we're at a PR event (#mp15) talking about companies that don't need more people talking about them (@google @apple @facebook),0
How many iphone chargers do I need to go through? @Apple make charger durability a point in the new iPhone,-1
The rumoured @oppo R8207 looks very similar to a certain @Apple #iPhone6 http://t.co/nJKstb1rJf,0
"Apple Watch on Track for February 2015 Release, Testing Underway [Rumour]  $AAPL #aapl
http://t.co/vjOWVvDFx5",0
'#Howto import objective-C code into bridging header file - @Apigee SDK for @Apple's Swift http://t.co/e3i1kKa7xX' http://t.co/dkoOxiEGRy,0
thanks @apple for making life complicated,-1
Bose products reportedly set to return to #Apple Store shelves as early as next week - http://t.co/fqnkD6rsDT #AAPL #JimmyIovine,0
#AAPL:Alabama Anti-Discrimination Bill To Be Named After Apple CEO Tim Cook...http://t.co/J6hGjmjBZD,0
"Apple to launch 4-inch iPhone next year: Report $AAPL #aapl
http://t.co/x3lzm9bOoM",0
My cat only chews @apple cords. Such an #AppleSnob.,0
Ur minute has been about 10 minutes @apple http://t.co/tInVuQNYAM,-1
How do I log into iCloud on my phone? Not the cut down mobile version. Argh! Anyone know? @apple,-1
fuck you fuck you so much i hate you @apple,-1
@leiahemilyy @Apple really???,0
"Move Aside #Apple and #Google, #Alibaba is Entering the Connected Car Space - Forbes #baba #goog #aapl http://t.co/gOSQlrWvtl",0
Footage of the Apple-1 computer running. #ComputerHistory @apple @christiesinc http://t.co/nTGfnJWZ7G,0
Great service at @Apple #BethesdaRow thanks Jenna and Brandon!!!!!!!,1
@apple please get yourself together! I need my products to work!,-1
@apple so thanks for being greedy assholes who force me to pay to get something THAT I ALREADY FUCKING PAID FOR WITH FINAL CUT PRO.,-1
Why #AAPL Stock Had a Mini-Flash Crash Today: Money Morning: Nothing the analysts suggested would make a widel... http://t.co/jFGsSy2Ei3,0
"@kodam13 and #blunderblock if fricking @Apple ever gets their act together!!!!
@AppStore we need Blunderblock by
@BrandiGlanville",-1
"Steve Wozniak on @Apple, the Computer Revolution, and Working With Steve Jobs http://t.co/01201wlyzu via @BW",0
"Uh, is @Apple making fun of French people (and being rude) in their new iPhone 6 'call from anywhere' ad?! That's how it seemed to me.",-1
"If @Apple Will Poach From #Fashion, Then Fashion Will Follow Suit - The Business of Fashion - http://t.co/KVe1KXONfM",0
@NickM538 @Apple tell them how ya really feel,0
Oh @Apple this is horrible packaging and shipping. #shame http://t.co/JaRpJYJ5Zu,-1
@apple iCal AGAIN!!! it reset all my recurring in spite of months of individualizing each one per current date. #fail #icloud #sucking,-1
RT @chemixcalbieber: '@WhoaBiebz: GET YOUR SHIT TOGETHER OR I'LL GUY A SAMSUNG GALAXY S5 @APPLE' http://t.co/LEHpmkxK0a,-1
"@angusdick yes, had that exact issue. Took it to @apple for a free battery replacement. Trackpad ended up being fine.",0
@RedXPower @ChristmasCount yeah and don't make them into tablets @apple,0
@Maine_Nitin Good morning! Looks like I'll be hanging at the @Apple store with the students and snowbirds sometime this week.,0
"if I tweet about NANDOS my phone puts it in caps, I like the iPhone six, it knows my favourite restaurant. good phone GG @apple",1
WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple,-1
CNBCTV:  #Apple arguably most innovative company in world: Pro #aapl http://t.co/xWVD3zCkHu,1
#AAPL:Is it time to start buying Apple?...http://t.co/5nulnjlbaG,0
"CGK had laptop prob today.  @apple  Local #, useless. Tech support, useless. 1 hr at Genius Bar, useless.  Buy a PC next time?",-1
"Please, @Apple, don't go the way @Facebook has gone with their iOS 'release notes'.  We DESERVE to know what's happening with our gear.",-1
iTunes is pissing me tf off @apple,-1
"#AAPL RT @FortuneMagazine Alex Gauna flips his Apple bit, sets Street-high target of $150 http://t.co/rsHjD9BrHp",0
"@FaZeNikan @Apple lol iPhone,weak. Get on that Lumia level bruh",-1
"iPhone 6 Plus Captures 41% 'Phablet' Sales in the U.S. $AAPL #aapl
http://t.co/afedrJ4EPr",0
"Apple Wants To Make Your Commute Much Easier, According To This New Patent $AAPL #aapl
http://t.co/FD6FCM2HQB",0
feel so lost with out my phone :(  @apple iPhone 5 chargers are horrendous! #brokenchargerprobs,-1
"#Verr?cktes #Ger?cht: #iPhone6s zum @Apple [#Apple] Watch. (#Tuesday, 2 #December) http://t.co/PGCaSLAnZa",0
"#AAPL:Apple Loop: iPhone 6S Rumors, The Myth Of Steve Job's Garage, iPhone 6...http://t.co/GwQ3JqikZd",0
please make a gold macbook @apple,0
@apple why doesn't your people explain precautions when buying an expensive laptop,-1
"Apple:Dec 5 Trading Daily Profit $1.57/sh,  Weekly Profits of $18.36/sh  #aapl #Stockaction #trading #Stocks #MKt  
http://t.co/76R4rmUUNo",0
Options Outlook Amid Heavy Week Of Economic Events http://t.co/J7hj76F2sG #AAPL #GOOG #GOOGL #TSLA #WMT #PreMarket #Markets,0
.@Apple is reportedly hiring fashion-focused staff for its physical stores http://t.co/ZoOnR3u5zV #FTDaily #FashionTech,0
The @Apple iWatch: Changing the face of watches http://t.co/EtfTAT5K7x #applenews #iwatch #gadgets,0
"Apple 'deleted' rivals' music from iPods, court hears $AAPL #aapl
http://t.co/7xYurDyY7R",0
@DustynMichael got enough @apple  products? http://t.co/nts3ebIxAL,0
@apple why can't i fnd netbot on app store !? help ASAP,-1
"@iTunes @apple my music library wont sync new music etc, iTunes tells me sync completed, nothing new uploaded,how do I fix this? FRUSTRATING",-1
@CharlesJMeyer @Apple @Appy_Geek Hasn't Apple been doing this for decades? This is why I don't support Apple. #apple #deletegame,-1
"yo @Apple , why yall make it so hard to grip the 6?.",-1
Apple makes bad chargers. The @apple genius said wrap it in electrical tape. I wonder what Jony Ive thinks of that. http://t.co/HvxSJUt39p,-1
RT @paisley_smithh: Real tired of my charger breaking every month @Apple,-1
my dad called now my musics arent playing jesus christ @apple problematic,-1
"Ok, @apple. You win. I won't use your browser anymore since it keeps closing on me. Literally 8 times today. I counted.",-1
"RT @TeamCavuto: Protesters stage #DieIn protests in @Apple store in NYC... Is it me, or is this anger misplaced? RETWEET if you agree.",0
@l0lvivivuvu @sextsatan @Apple And replied... #livingthedream ~ARI,0
@apple why is it that your iPhone's alarm fails to work sometimes?? I missed 3 bonus points from a class because of this. Sooooo annoyed,-1
It would be nice if I could type more than one sentence without my computer freezing up @Apple @Microsoft @Word @Internet @Everyone,-1
"As Apple still struggles to meet iPhone 6 demand, Canaccord raises price target to $135  $AAPL #aapl
http://t.co/IrZI8Q8F9r",0
"Apple: $113 matches 8% increase in earnings. 2014Q3 EPS=$1.42 in  #IOS App Donkey Stocks on your #iPhone. #AAPL
https://t.co/8CBUgrEHZS",0
"@Apple [#Apple] #Patents An #iPhone Drop Protection Mechanism That Changes Device .... (#Tuesday, 2 #December) http://t.co/WpnlcmBcSB",0
"Myths vs. Reality-Full Time #Trading http://t.co/JH7BMS1Kgb #stocks
#futures #forex #trader #es #aapl #gpro #eSignal http://t.co/bFnkHl3EYx",0
you just did too much you asshole. @apple get your shit together.,-1
RT @ehsonakbary: THE WORLD'S FIRST MURDER VIA FACETIME THANK YOU FOR THIS INNOVATION @Apple http://t.co/Rz8es3q3fj,-1
"Who's Buying All Those New iPhones Anyway? $AAPL #aapl
http://t.co/oErygGHnsc",0
RT @HorseshoeBmore #Holiday #Giveaway! To ensure you stay in touch on the go ck out brands like @Apple @amazon http://t.co/v2GViV6qnh,0
@Apple This was NORMAL use-- NO ABUSE! Wrapped it exactly as you instructed me to. This is a fire hazard. You should replace it. #defective,-1
RT @RaviMikkelsen: @HRHound @MandoGallegos Nice! If the actor had on an iWatch he'd have the entire suite of @Apple products. #sponsorDeal,0
That moment EVERYTIME when walk out of @Apple after purchase &amp; receipt is emailed &amp; think getting stopped or not #MiniHeartAttack @tim_cook,0
"Major crisis avoided @apple. You guys were able to restore my daughter's  #iPhone. Great service, thanks. #5starservice",1
FUCK YOU @apple FOR MAKING SHIT PRODUCTS,-1
Pop up #BostonHoliday - #UrbanNutcracker's @RussellFerg &amp; #krumpers are @Apple Store in Boylston St. @5:30pm today. Dancing &amp; chat',0
@apple had a dream last night where I downgraded my #iPhone to a 4S and spent the rest of the dream trying to figure out what to do. #shame,-1
@OneRepublic @Apple HOW THEY LOOK THIS IS SO CUTE,1
I don't undestand how @SYFNews #CreditCare website doesn't work on @Apple prod-Had to request paper bills #WhatYearIsIt #poorcustomerservice,-1
Dear @apple replace my phone my battery sucks,-1
"China reminds Apple on need to support privacy, security in its products $AAPL #aapl
http://t.co/5ABnwWVQxh",0
@Nale When do you think #parable will be accessible in France @Apple #AppStore,0
"Oh @apple, why do I have to delete my unwanted photos eight times. Once is enough. I don't want a 'recently deleted' folder.",-1
"The 10 biggest differences between #Mac and #PC.  Yep, I'll stick with my Mac! #apple http://t.co/bxbjni5iHn @apple @LisaEadicicco",1
RT @yungbaaz: god dammit fuck you @apple,-1
#AAPL MT @FortuneMagazine Can Apple clear name in ebooks drama? Eddy Cue says he'd do it again- but take better notes http://t.co/xCYyyJtK05,0
@Apple fix addis' phone so we can text each other pls and thx,-1
"Companies i admire : @3QDigital @vaynermedia @apple. It must rocks to work there, because mainly of their boss and their culture.",1
@Siri @Apple @SteveJobs @alarmthatdidntgooff this is disrespectful,-1
RT @Amdocs: Top #iOS apps of 2014. @Apple names Elevate Brain Training as #1 iPhone app. http://t.co/tyRNmYGnDP,0
"NO @apple NO! When I make an I phone Album I WANT IT TO STAY ON PHONE, not be removed when camera roll cleared.. GET IT TOGETHER!",-1
@AppStore @apple When is the release for the new #infiniteflight update in the appstore? @flyingdevstudio says the Update is in your hands,0
"@morrisjordan42 I would say it had a good life but fuck man, little guy was only like 3 mths old, fck u @apple and ur piece of shit chargers",-1
"Pegraton may Gain Orders for 50% of the 2015 4.7' iPhone 6S $AAPL #aapl
http://t.co/jjvkpoa01X",0
Protesters in the @Apple store pretty much sums it up. Its like a gravitational pull. Shocked it took this long. Next stop? STARBUCKS!!,-1
At the Genius Bar@apple store.  Very helpful #AAPL staff and whoever helped me was genius. Comp wking again. http://t.co/GBPQdl8eCN,1
I hate my MacBook now. Fuck this update and fuck you @apple,-1
@Apple conclusion : Best client service ever,1
"@jimmymujaj @Apple it works again fucker, not being a hoe if it's only one person SMD",-1
My phone just charged 23% in 45 seconds thanks @Apple,1
@apple please stop notifying me to 'upgrade iCloud storage' because I do not use iCloud enough to upgrade it nor would I pay for such things,-1
@Apple recruiting luxury executives for iwatch. I'll make it easy for them: just get celebrities to wear them.,0
contact @Apple RT @mrstiffanyanne anybody that sold an iPhone before? i have questions &amp; can't find them on Google!!!,0
hey @apple my 5s keeps glitching :/,-1
iPhone6 fell 2 ft. Screen shattered like it was blown up. @apple wants an additional $109 to fix it. Maybe make a product that lasts?,-1
RT @HorseshoeBmore #Holiday #Giveaway! To ensure you stay in touch on the go ck out brands like @Apple @amazon http://t.co/jMAL4mOWmz,0
Can I turn auto correct off @apple ?,0
#Apple Stores hosting Hour of Code programming workshops on December 11th - http://t.co/lDmfG6nQES #AAPL #Tokyo,0
#brooklyn is changing! @apple store is heading to BK!,0
BloombergTV:  Steve #Wozniak on What Really Happened in #Jobs' Garage http://t.co/M5Pl6xLjuV via @BloombergTV #Apple #aapl,0
". @apple diag and support suck a lot! It says 'cannot connect server, try again', then 'ticket not found' #disgusting http://t.co/ARyYbxOdox",-1
my phone keeps restarting on its own @apple dont play me like that???,-1
"Looking down on the crazy George Street, #Sydney in the rain from the @Apple Genius Bar.... http://t.co/fw8BCu1DOD http://t.co/dlrmFkDKHh",0
@Sony and @Apple @iTunesMusic  @AppStore @tim_cook need to combine their efforts and  make one solid system accessible from any device...,0
"Is Apple Inc. Losing the $5 Billion Ed-Tech Market? $AAPL #aapl
http://t.co/lOLDOTy7jt",0
"http://t.co/D2TeKpbQyw
@Apple Default search engine",0
"Sales Of The iPhone 6 Plus Have Settled A Long-Running Argument About Apple And Smartphones $AAPL #aapl
http://t.co/4oaDjSZwg9",0
Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu,1
Changing words that aren't even misspelled like where do they REALLY do that at???? I would really like to know. @apple,-1
"#mkt Final #AAPL #PutCallRatios for Thursday, December 4, 2014:  http://t.co/pSiLO8mepA",0
@daulfn @AppleUK_ @Apple It's what most of our devs do,0
@OneRepublic @Apple THIS IS SO BEAUTIFUL,1
"@Apple @iCloud Family in-app purchase approvals broken since Friday? You might have some very unhappy, money-losing developers come Monday.",-1
@apple Excellent customer service thanks Ian #applestorecoventgarden,1
@sometimesboring also wtf @apple i dont even live in kirkby,-1
"In first-ever Apple Watch hackathon, apps and challenges emerge $AAPL #aapl
http://t.co/rmYFzMIE5K",0
Follow all developments in the #AAPL DRM trial that is finally underway. https://t.co/W9mVJwhtNQ,0
that yosemite update is so annoying i regret installing it -_- @apple sort out your shit bro,-1
RT @WillliamLemar: RT @JustPoetic_: Why the fuck is there a 'recently deleted' photo album? @Apple,-1
"We know that @Apple have a strong supply chain, but what is it that makes it that way? #SupplyChain #Operations http://t.co/Pk95RjYhcV",0
#Apple Inc. and #Facebook Clash; Neither Is Wrong | The Motley Fool #fb #aapl http://t.co/AAy60rtQFC,0
Cheeky @apple...  Very cheeky.... No dice though... You can't own 'App Store' it's a description not a product - http://t.co/8L7VeRuzfs,-1
Got to hear about the new patent by apple ... and that's a quite innovative idea.... @apple.  The mobile screen will never break in future,1
BloombergTV:  #Wozniak: What Really Happened in #SteveJobs' Garage http://t.co/dmNbZukzoz #aapl,0
waiting a week for a DUNS number is preventing me from being able to build and release a client's iOS app. @apple why do you hate me so?,-1
RT @hypebot: Steve Job's Deposition in #iPod Lawsuit Could Cost @Apple $1 Billion http://t.co/7vDXwvxKpe #MusicBiz #MusicIndustry #Apple,-1
Thought this just happened to me. Why I HATE @apple to this day. http://t.co/19G2JYZOGI via @rollingstone,-1
@apple is laughing its pants off with the school programs here in Australia. They even manage to wringe money out of the poorest of people,-1
#NYC #EricGarner protesters stage 'Die In' @Apple store http://t.co/5y1RRbx0SC LIVE @Rebelutionary_Z #BlackLivesMatters #ShutItDown,0
Foreign Currency Exchange May Be A Headwind For Apple (AAPL) http://t.co/rMPiMkvLsH #AAPL,0
"In case of accident, have you downloaded our free @Apple app yet #Winnipeg http://t.co/xFhk6vBQnl",0
.@tim_cook That rage when dealing @Apple Geniuses when they maintain 'it's not a known issue' when a simple google search shows it's a big 1,-1
CNBCTV:  Citi's #Apple optimism #aapl http://t.co/CGRe961fib,0
"Dan Nathan: How To Profit From Apple Stock? 
$AAPL #aapl
http://t.co/wkEoflid2Q",0
Thank you @Apple for fixing the #Swift sourcekit crashes in #XCode :). Life is better now! http://t.co/NbRWTTcZ35,1
